participant_id,role,response
P01,UX Researcher,"I usually start by reviewing whatever documentation exists, but honestly most of the time there isn't much. I end up doing a lot of stakeholder interviews just to figure out what the product is actually supposed to do."
P02,UX Designer,"The hardest part is getting engineers to understand why we need more than two weeks for discovery. They always want to jump straight to wireframes. I've started framing research as risk reduction and that helps a little."
P03,Product Manager,"We run two-week sprints and research keeps getting squeezed into the first three days. By the time we have findings, the design decisions are already made. I don't know how to fix that."
P04,UX Researcher,"Recruiting is always the bottleneck. We spend more time finding participants than actually running sessions. I wish we had a panel we could pull from instead of starting from scratch every time."
P05,Content Strategist,"Nobody invites me into the research phase. I find out what users said in the readout and by then the IA is already locked. The language problems surface in usability testing three months later."
P06,UX Designer,"I've started doing five-minute hallway tests with anyone I can find. It's not rigorous but it's faster than waiting for a formal study to get scheduled and approved."
P07,UX Researcher,"The synthesis step is where we lose people. Everyone attends the sessions but nobody wants to sit through two days of affinity mapping. I've tried doing it async with Miro but participation drops off."
P08,Product Manager,"My biggest frustration is that research findings don't translate into decisions. We get a deck with quotes and themes and then everyone nods and goes back to doing what they planned to do anyway."
P09,UX Designer,"I find it really hard to push back when someone senior says they already know what users want. Even when I have data that contradicts them."
P10,UX Researcher,"Remote sessions have actually improved our geographic diversity. We used to only talk to people in Seattle. Now we regularly include participants from smaller cities and that's changed some of our assumptions."
P11,Content Strategist,"I've been trying to introduce plain language principles but the legal team always pushes back. They want specific wording that users consistently misread in testing. It's a constant negotiation."
P12,Product Manager,"We don't have a dedicated researcher on my team so I end up doing interviews myself. I'm not sure I'm doing them well but it's better than not doing them at all."
P13,UX Designer,"The gap between what users say they do and what they actually do is real. I had a participant tell me they always read the confirmation email and then in the diary study we ran they never opened a single one."
P14,UX Researcher,"I'm spending more time writing reports that nobody reads than actually doing research. I've been experimenting with shorter formats, like a one-page brief, and that gets more engagement."
P15,Product Manager,"Our design system has made things more consistent but it's also made some teams less willing to question patterns that don't actually work for their users. Convention becomes a crutch."
P16,UX Designer,"I've started including a confidence rating in my recommendations, like this is high confidence from multiple sources versus this is directional from a single session. It's changed how people receive the findings."
P17,UX Researcher,"Accessibility keeps getting treated as a compliance checklist instead of a design constraint. I've had the most success when I can get an assistive technology user into a session early because seeing it is harder to argue with than reading about it."
P18,Content Strategist,"Error messages are the last thing anyone thinks about and the first thing users notice when something goes wrong. I've been trying to get them into scope earlier but they always end up being a handoff item."
P19,UX Designer,"I struggle with knowing when I have enough data. There's always pressure to do one more round but at some point you're validating what you already know."
P20,Product Manager,"The most useful thing research has done for us is help us stop building things. We killed two features last quarter based on findings and that felt like a win even though it's hard to show in a metric."
P21,UX Researcher,"We've been using AI to help with transcript analysis and it speeds things up but I always do a pass myself because it flattens nuance. It's good at finding patterns and bad at knowing which ones matter."
P22,UX Designer,"Onboarding is where our product falls apart and everyone knows it but there's no owner. Product thinks it's design, design thinks it's content, content thinks it's engineering. The user just bounces."
P23,Content Strategist,"I've been pushing for a terminology audit across the product for two years. Different parts of the app use different words for the same thing and users notice even if they can't articulate why."
P24,UX Researcher,"The best sessions I run are the ones where I say almost nothing. The worst are when I'm trying to cover too many topics and I end up steering instead of listening."
P25,Product Manager,"We did a diary study last year and the data was incredible but we've never had the budget or time to do another one. I think longitudinal research is undersold in product teams."
