id,app,category,rating,review,date,helpful_votes,verified_purchase,device_type,app_version
1,Fieldkit,field research,1,Auto-transcription accuracy on accented speakers is inconsistent. Guest seats should be free — charging for view-only access feels wrong.,2023-03-31,37,True,mobile,2.5.0
2,Fieldkit,field research,2,Search results are slow when the repository is large.,2024-07-28,12,True,mobile,2.5.3
3,Lookback,user research,4,One-click export to Notion is a feature I use every week. Being able to rewatch sessions at 1.5x speed has saved me hours.,2024-03-08,21,True,desktop,5.2.0
4,Dovetail,research repository,5,My whole team can comment on the same session without chaos. Recording quality is excellent even on slow connections.,2023-12-19,38,True,,2.0.0
5,Fieldkit,field research,5,Works offline and syncs when I get back to WiFi — essential for fieldwork.,2024-01-23,5,True,desktop,2.5.3
6,Lookback,user research,5,The guest access feature is perfect for external stakeholders. The session recording is crisp and easy to scrub through.,2024-11-08,14,False,,5.3.1
7,Fieldkit,field research,5,Project folders keep multi-phase studies manageable. PDF reports look professional enough to share with executives.,2023-06-16,23,True,mobile,3.0.0
8,Maze,usability testing,5,I was running my first study within 20 minutes of signing up.,2023-06-25,34,False,,4.1.0
9,Dovetail,research repository,4,The guest access feature is perfect for external stakeholders. CSV export includes everything I need for further analysis.,2023-08-23,2,False,desktop,2.0.0
10,Miro,collaborative whiteboard,3,"Works fine — nothing remarkable, nothing broken.",2024-08-03,45,True,,9.4.0
11,Miro,collaborative whiteboard,4,Screener templates saved me from writing survey questions from scratch. I can tag clips without leaving the playback view.,2024-07-28,34,True,desktop,9.3.0
12,Lookback,user research,4,Battery drain is reasonable even during long observation sessions. Searching by tag across projects actually works reliably.,2024-05-20,5,False,tablet,5.3.1
13,Fieldkit,field research,3,Solid core product with rough edges in the advanced workflows.,2024-11-27,27,True,desktop,
14,Miro,collaborative whiteboard,4,One-click export to Notion is a feature I use every week. I was running my first study within 20 minutes of signing up.,2024-11-27,46,True,mobile,9.4.0
15,Lookback,user research,5,The timeline view across a research program is genuinely useful. The highlight reel feature is genuinely useful for presentations.,2024-04-09,0,False,mobile,
16,Maze,usability testing,5,Custom fields on participants let me filter by screener criteria.,2023-04-19,40,True,mobile,4.2.3
17,Lookback,user research,5,Bulk-tagging across sessions is a huge time saver.,2024-07-06,33,False,mobile,5.2.0
